Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
E1318,IT,55,105395,5,50,77,No
E1319,Finance,23,31345,6,40,59,No
E1320,IT,36,54077,6,57,88,No
E1321,IT,25,86400,3,34,62,No
E1322,IT,41,32055,16,45,76,No
E1323,HR,30,105283,12,59,86,Yes
E1324,HR,39,64484,4,55,47,No
E1325,HR,45,97514,1,47,96,No
E1326,Finance,24,110135,4,41,76,No
E1327,Operations,49,55771,1,56,95,No
E1328,IT,39,77654,21,56,84,Yes
E1329,IT,22,66540,8,34,72,No
E1330,Finance,30,103151,24,45,72,No
E1331,IT,45,49377,5,41,46,No
E1332,HR,40,115567,2,52,61,No
E1333,Operations,39,69573,12,31,44,No
E1334,Marketing,43,62733,22,59,85,Yes
E1335,IT,44,31760,17,58,54,No
E1336,HR,31,119250,7,35,60,No
E1337,Marketing,54,45762,11,52,64,No
E1338,Operations,48,70986,4,50,56,No
E1339,Marketing,25,54332,5,54,95,No
E1340,HR,25,60100,6,59,89,No
E1341,Marketing,41,24944,11,33,46,No
E1342,Finance,32,68825,1,59,93,No
E1343,Marketing,24,33877,10,59,97,No
E1344,IT,40,49990,20,42,89,Yes
E1345,IT,58,119612,24,39,99,Yes
E1346,Finance,45,75283,21,46,58,No
E1347,HR,34,23258,11,43,91,Yes
E1348,IT,31,51629,24,53,46,No
E1349,Operations,52,57579,17,44,79,No
E1350,IT,31,42958,8,37,84,No
E1351,IT,38,59465,13,52,98,Yes
E1352,HR,47,105853,20,53,89,Yes
E1353,Marketing,38,35775,18,47,63,No
E1354,IT,43,96575,22,32,50,No
E1355,Finance,31,114633,16,54,80,No
E1356,Marketing,41,54207,2,46,94,No
E1357,Operations,25,42553,5,53,40,No
E1358,HR,43,73632,18,53,93,Yes
E1359,Operations,45,20055,3,36,71,No
E1360,Marketing,30,108697,22,42,79,No
E1361,Marketing,42,52873,17,59,92,Yes
E1362,Marketing,39,100720,16,56,83,Yes
E1363,Operations,21,86205,6,45,41,No
E1364,Marketing,27,98199,19,34,54,No
E1365,Operations,24,45318,7,33,60,No
E1366,Marketing,21,53734,18,55,63,No
E1367,Finance,35,102227,14,39,89,Yes
E1368,Marketing,32,38522,6,42,56,No
E1369,Operations,42,31656,8,39,86,No
E1370,IT,42,35893,15,43,91,Yes
E1371,Marketing,37,36493,15,55,91,Yes
E1372,IT,49,23632,15,51,48,No
E1373,Finance,34,115872,16,41,74,No
E1374,HR,40,108648,1,56,59,No
E1375,Finance,53,81779,11,30,58,No
E1376,Marketing,35,58452,5,58,57,No
E1377,IT,32,33266,5,50,59,No
E1378,IT,40,81607,21,59,69,No
E1379,Operations,50,36940,6,49,79,No
E1380,IT,58,44003,2,49,40,No
E1381,Operations,23,118408,6,36,63,No
E1382,HR,48,54815,14,38,63,No
E1383,Marketing,46,50869,11,37,86,Yes
E1384,Operations,50,69297,4,56,58,No
E1385,HR,33,80107,24,42,69,No
E1386,IT,33,102793,9,43,65,No
E1387,IT,22,36682,24,41,81,Yes
E1388,HR,57,39622,3,37,83,No
E1389,IT,58,50408,16,50,99,Yes
E1390,HR,22,28837,11,51,77,No
E1391,Operations,56,84210,4,47,68,No
E1392,Operations,46,35407,1,45,52,No
E1393,HR,31,49309,21,58,43,No
E1394,Operations,28,91918,22,40,84,Yes
E1395,Operations,42,113190,16,45,56,No
E1396,Operations,40,38895,19,43,72,No
E1397,Finance,28,119087,16,32,44,No
E1398,Marketing,49,106912,11,50,67,No
E1399,IT,46,20370,8,31,63,No
E1400,Finance,50,20486,23,32,56,No
E1401,Operations,37,43762,1,33,89,No
E1402,HR,40,46613,21,51,78,No
E1403,Operations,36,23196,9,34,87,No
E1404,Marketing,27,114937,12,39,79,No
E1405,Operations,36,96349,22,49,83,Yes
E1406,HR,47,84839,8,58,85,No
E1407,Marketing,43,61916,17,31,90,Yes
E1408,Operations,44,28572,10,41,50,No
E1409,Marketing,29,48225,7,56,51,No
E1410,IT,55,65853,19,34,52,No
E1411,IT,40,69390,6,34,47,No
E1412,Operations,57,52275,21,56,40,No
E1413,Marketing,37,92379,24,52,48,No
E1414,HR,51,21105,24,30,67,No
E1415,Operations,28,79896,19,33,41,No
E1416,IT,35,63209,18,56,53,No
E1417,IT,51,117175,15,50,52,No
E1418,Operations,50,62487,2,53,87,No
E1419,Marketing,40,38051,14,41,41,No
E1420,IT,59,114244,21,41,43,No
E1421,Marketing,32,97400,10,45,51,No
E1422,IT,37,86961,16,53,87,Yes
E1423,IT,50,80156,7,46,49,No
E1424,Finance,49,77175,8,50,42,No
E1425,IT,39,26849,10,39,43,No
E1426,HR,31,38976,15,46,45,No
E1427,Operations,54,119794,8,46,62,No
E1428,Operations,27,76866,13,47,44,No
E1429,Marketing,54,67078,12,31,89,Yes
E1430,IT,40,51113,8,54,42,No
E1431,HR,58,35401,15,33,49,No
E1432,Marketing,44,32884,12,48,82,Yes
E1433,Finance,30,104360,11,40,58,No
E1434,Marketing,52,57563,19,46,53,No
E1435,Marketing,35,54414,14,41,60,No
E1436,IT,57,36142,18,31,99,Yes
E1437,Finance,40,91492,13,35,82,Yes
E1438,Marketing,23,99464,4,38,67,No
E1439,HR,57,95257,17,34,60,No
E1440,HR,28,96693,19,49,75,No
E1441,Operations,43,55135,9,58,63,No
E1442,Finance,31,92232,23,50,93,Yes
E1443,Finance,28,47862,7,38,77,No
E1444,Operations,49,25190,1,57,56,No
E1445,Marketing,50,90199,7,58,61,No
E1446,Finance,30,24331,7,52,58,No
E1447,HR,59,72186,20,37,84,Yes
E1448,HR,48,64648,7,49,93,No
E1449,IT,56,48549,8,56,49,No
E1450,Finance,33,101782,16,37,50,No
E1451,Marketing,52,45761,3,51,77,No
E1452,Operations,56,23262,13,50,41,No
E1453,Operations,57,71259,10,58,72,No
E1454,Marketing,46,92572,18,57,82,Yes
E1455,IT,42,73472,7,52,70,No
E1456,Operations,24,107858,21,35,87,Yes
E1457,Finance,51,104667,21,32,74,No
E1458,IT,38,24677,5,34,76,No
E1459,Finance,58,93508,23,38,86,Yes
E1460,HR,44,100865,24,36,86,Yes
E1461,IT,43,70617,22,57,75,No
E1462,Operations,42,106029,7,33,62,No
E1463,IT,22,38595,22,36,75,No
E1464,IT,51,107459,17,34,79,No
E1465,IT,31,80148,4,40,78,No
E1466,IT,48,66926,24,58,65,No
E1467,Finance,52,95271,23,44,64,No
E1468,HR,25,54457,16,31,56,No
E1469,Marketing,58,62531,19,42,54,No
E1470,IT,30,93263,10,51,76,No
E1471,Operations,44,93300,3,45,84,No
E1472,IT,55,83171,3,36,43,No
E1473,Operations,43,65771,17,37,61,No
E1474,Finance,37,113135,10,35,56,No
E1475,Operations,21,86354,17,53,61,No
E1476,Marketing,51,57289,22,36,56,No
E1477,HR,51,53892,17,47,53,No
E1478,Operations,54,91196,21,59,53,No
E1479,Operations,29,115057,4,51,56,No
E1480,HR,42,58409,21,54,47,No
E1481,Marketing,33,54470,23,57,73,No
E1482,IT,45,38385,6,51,65,No
E1483,Operations,38,43296,12,49,84,Yes
E1484,HR,32,81716,22,36,69,No
E1485,Finance,37,109152,20,32,61,No
E1486,HR,35,46382,17,34,55,No
E1487,Finance,35,96675,17,30,69,No
E1488,Marketing,35,117596,10,44,55,No
E1489,IT,59,42419,7,55,77,No
E1490,HR,33,113321,16,32,93,Yes
E1491,Operations,37,101238,13,37,63,No
E1492,Marketing,52,114753,3,54,75,No
E1493,HR,29,59291,2,38,74,No
E1494,Operations,40,32397,16,44,45,No
E1495,HR,46,77888,6,39,43,No
E1496,Finance,47,55169,6,31,57,No
E1497,HR,41,82182,13,49,45,No
E1498,HR,38,112476,7,34,65,No
E1499,HR,33,62249,5,48,76,No
E1500,Marketing,36,48341,24,42,66,No
E1501,HR,29,95603,7,40,80,No
E1502,Operations,32,66144,2,30,50,No
E1503,Finance,58,81772,17,51,77,No
E1504,Finance,39,99360,13,59,55,No
E1505,HR,27,33444,21,44,58,No
E1506,Marketing,55,65647,21,55,82,Yes
E1507,Marketing,38,118843,16,47,92,Yes
E1508,Operations,36,30974,20,45,54,No
E1509,HR,59,58383,2,38,65,No
E1510,Finance,24,114826,5,30,95,No
E1511,Marketing,45,101552,18,40,80,No
E1512,HR,52,117648,7,38,95,No
E1513,Marketing,33,114049,11,52,70,No
E1514,Marketing,37,22956,11,40,58,No
E1515,Finance,57,28077,22,42,96,Yes
E1516,IT,26,56490,17,55,90,Yes
E1517,Operations,39,75612,16,31,63,No
E1518,Operations,33,56159,13,43,97,Yes
E1519,Finance,46,59710,22,35,48,No
E1520,Marketing,34,103536,5,37,62,No
E1521,HR,51,33806,20,47,43,No
E1522,Marketing,24,98345,16,45,49,No
E1523,Finance,59,100391,22,50,48,No
E1524,Operations,28,114924,22,58,58,No
E1525,Marketing,45,26458,16,41,54,No
E1526,Operations,33,55524,16,40,90,Yes
E1527,HR,52,26853,14,35,73,No
E1528,Operations,58,60477,6,32,81,No
E1529,Operations,58,52222,2,43,58,No
E1530,IT,48,38320,14,57,88,Yes
E1531,IT,50,114154,16,31,91,Yes
E1532,IT,23,72243,23,40,95,Yes
E1533,Operations,48,65615,20,51,60,No
E1534,Finance,23,37352,13,32,73,No
E1535,Operations,54,92833,15,47,90,Yes
E1536,Finance,36,113476,12,30,56,No
E1537,Finance,42,23203,9,59,57,No
E1538,IT,52,59267,18,53,56,No
E1539,Marketing,58,57941,21,30,41,No
E1540,HR,28,102809,14,41,90,Yes
E1541,IT,28,45368,20,44,40,No
E1542,IT,26,97186,4,34,82,No
E1543,Marketing,34,50984,8,56,96,No
E1544,HR,52,61941,8,35,49,No
E1545,Operations,55,92918,22,45,76,No
E1546,Operations,30,72683,22,56,87,Yes
E1547,IT,23,20801,16,41,95,Yes
E1548,HR,32,67965,24,41,44,No
E1549,IT,51,105269,10,32,95,No
E1550,Finance,49,29969,21,59,94,Yes
E1551,IT,25,55969,17,52,51,No
E1552,IT,45,102269,1,31,75,No
E1553,Operations,51,52449,18,36,70,No
E1554,Operations,41,111679,10,31,94,No
E1555,Operations,40,45705,21,50,77,No
E1556,Finance,59,80303,4,36,90,No
E1557,Operations,42,48363,1,40,48,No
E1558,HR,24,50720,4,40,83,No
E1559,Marketing,33,29972,4,43,65,No
E1560,HR,40,53351,4,32,54,No
E1561,HR,33,56145,17,43,55,No
E1562,Operations,37,107948,9,40,52,No
E1563,Marketing,56,109614,19,33,64,No
E1564,Marketing,53,108116,13,46,69,No
E1565,Marketing,21,76235,4,45,92,No
E1566,Finance,35,34855,5,32,95,No
E1567,Operations,33,56169,13,54,46,No
E1568,Marketing,37,66404,23,39,96,Yes
E1569,Finance,44,39569,16,50,94,Yes
E1570,IT,28,74437,22,44,91,Yes
E1571,IT,47,68506,5,37,43,No
E1572,Finance,43,45738,8,47,82,No
E1573,Finance,28,26772,16,32,79,No
E1574,Operations,28,110410,1,36,77,No
E1575,Operations,46,39731,23,59,96,Yes
E1576,IT,33,30131,6,39,69,No
E1577,Marketing,59,86324,11,49,49,No
E1578,IT,57,74097,16,38,69,No
E1579,Marketing,48,101720,5,43,78,No
E1580,Marketing,45,116433,16,52,46,No
E1581,Operations,36,22889,7,43,75,No
E1582,HR,22,29569,19,40,74,No
E1583,HR,38,107193,1,57,63,No
E1584,Finance,37,95677,9,30,78,No
E1585,Operations,50,105192,18,33,75,No
E1586,Marketing,59,107154,13,55,84,Yes
E1587,HR,33,97470,15,56,59,No
E1588,Marketing,52,108822,3,35,88,No
E1589,HR,49,27612,24,51,71,No
E1590,HR,50,71644,10,55,98,No
E1591,HR,38,52069,9,51,78,No
E1592,Operations,33,101741,13,34,88,Yes
E1593,IT,41,47331,16,32,65,No
E1594,Marketing,50,75897,3,31,65,No
E1595,Operations,41,33934,22,32,75,No
E1596,Operations,37,30095,23,38,82,Yes
E1597,Operations,39,111494,15,48,74,No
E1598,Operations,35,38706,17,48,82,Yes
E1599,Operations,29,63516,14,46,74,No
E1600,Finance,30,117008,7,47,51,No
E1601,Marketing,51,54629,20,40,72,No
E1602,Operations,43,66910,16,41,75,No
E1603,Marketing,50,108540,21,32,53,No
E1604,Finance,53,40431,8,47,72,No
E1605,Finance,29,76733,4,53,85,No
E1606,Marketing,21,60088,20,35,84,Yes
E1607,HR,55,64135,24,36,84,Yes
E1608,IT,31,58015,15,30,63,No
E1609,HR,54,51385,5,35,54,No
E1610,HR,36,90199,13,47,70,No
E1611,HR,29,58677,6,42,56,No
E1612,Operations,52,32818,5,51,51,No
E1613,Finance,35,108222,17,48,61,No
E1614,HR,32,83001,7,36,62,No
E1615,Finance,53,43977,6,48,65,No
E1616,Marketing,34,69832,2,38,53,No
E1617,IT,28,60931,11,32,51,No
E1618,Marketing,28,103990,7,52,89,No
E1619,Marketing,47,98894,22,41,43,No
E1620,Operations,32,92204,21,49,98,Yes
E1621,IT,21,65784,8,53,85,No
E1622,Marketing,31,29921,5,59,90,No
E1623,Marketing,59,54959,18,47,52,No
E1624,IT,51,52328,22,37,96,Yes
E1625,IT,37,28859,16,38,94,Yes
E1626,Marketing,53,109506,14,42,57,No
E1627,IT,52,94408,12,37,82,Yes
E1628,Marketing,49,104766,17,51,67,No
E1629,Marketing,41,46708,5,39,77,No
E1630,Operations,41,38847,14,46,80,No
E1631,HR,43,75989,6,36,83,No
E1632,Marketing,26,112641,15,46,58,No
E1633,Finance,42,24922,7,52,85,No
E1634,HR,58,89928,14,59,86,Yes
E1635,HR,57,72335,18,47,82,Yes
E1636,HR,28,33541,1,53,77,No
E1637,Operations,55,39551,6,31,85,No
E1638,Marketing,31,39381,3,32,42,No
E1639,Operations,44,75673,5,58,58,No
E1640,Marketing,41,42948,12,57,59,No
E1641,Operations,22,112264,11,48,64,No
E1642,Operations,39,79072,13,30,50,No
E1643,Finance,59,87560,16,50,95,Yes
E1644,Operations,48,102249,18,50,56,No
E1645,IT,37,22486,17,39,99,Yes
E1646,Finance,26,86691,17,50,98,Yes
E1647,Operations,39,30082,11,43,88,Yes
E1648,HR,58,104105,20,42,94,Yes
E1649,IT,48,27086,10,38,74,No
E1650,IT,22,87853,16,35,53,No
E1651,IT,58,90027,2,35,98,No
E1652,Finance,57,35916,17,48,78,No
E1653,Operations,24,35248,22,50,96,Yes
E1654,Operations,42,88047,20,39,58,No
