customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100026,50,Female,North,Primary,Self-Employed,34337.64,26479.52,Car,627,10,110,63.54,09:52.3,1
100027,29,Other,South,Secondary,Self-Employed,46614.61,46109.4,Other,628,4,33,65.82,09:52.3,0
100028,39,Female,North,Secondary,Salaried,44346.59,28483.29,Other,676,5,127,61.25,09:52.3,0
100029,61,Female,East,Secondary,Self-Employed,73476.33,26239.2,Business,642,2,44,61.05,09:52.3,0
100030,,Female,East,Graduate,,74089.94,16554.89,Car,,5,7,18.24,09:52.3,0
100031,66,Male,South,Primary,Self-Employed,77365.8,45711.29,Car,672,12,128,53.94,09:52.3,0
100032,44,Male,North,Post-Graduate,Salaried,67525.9,17248.24,Business,765,7,91,39.75,09:52.3,0
100033,59,Female,East,Secondary,Salaried,8520.01,23497.76,Business,708,9,130,44.83,09:52.3,1
100034,45,Male,North,Secondary,Self-Employed,16853.51,17946.8,Other,567,12,17,52.12,09:52.3,1
100035,33,Female,North,Graduate,Salaried,56495.31,26622.93,Other,640,10,186,16.56,09:52.3,0
100036,32,Male,North,Primary,Self-Employed,62451.95,46384.78,Car,645,8,110,37.35,09:52.3,0
100037,64,Male,South,Graduate,Salaried,91341.64,11408.4,Other,681,2,286,10.71,09:52.3,0
100038,68,Female,North,Graduate,Salaried,61944.88,26688.3,Other,725,7,163,93.17,09:52.3,1
100039,61,Other,East,Secondary,Salaried,35601.27,30865.97,Car,670,11,75,15.67,09:52.3,1
100040,69,Male,North,Primary,Salaried,76554.12,12815.02,Business,690,2,199,28.27,09:52.3,0
100041,20,Female,East,Secondary,Salaried,59568.71,24114.76,Car,571,1,287,85.22,09:52.3,1
100042,54,Female,North,Primary,Salaried,49948.63,52770.1,Home,618,4,182,48.44,09:52.3,0
100043,68,Male,East,Primary,Salaried,19635.01,1527.34,Car,516,3,97,17.21,09:52.3,1
100044,24,Female,East,Secondary,Salaried,62129.68,18681.99,Home,681,12,51,39.58,09:52.3,0
100045,38,Male,North,Secondary,Salaried,65720.45,28758.39,Car,709,4,34,15.43,09:52.3,0
100046,26,Male,North,Graduate,Self-Employed,35096.34,19360.86,Home,558,5,21,23.02,09:52.3,1
100047,56,Other,East,Graduate,Unemployed,78608.94,68293.71,Home,661,2,184,9.68,09:52.3,0
100048,35,Male,West,Graduate,Self-Employed,76369.92,33230.36,Car,643,0,293,44.44,09:52.3,0
100049,21,Female,South,Primary,Unemployed,61222.81,9334.46,Other,768,3,64,77.6,09:52.3,0
100050,42,Female,West,Secondary,Self-Employed,60293.07,10051.39,Education,587,5,124,57.74,09:52.3,0
100051,31,Male,West,Post-Graduate,Salaried,83650.94,30104.14,Other,714,1,101,59.57,09:52.3,0
100052,67,Female,North,Graduate,Self-Employed,69188.26,13665.71,Home,730,1,119,23.05,09:52.3,0
100053,26,Other,South,Post-Graduate,Self-Employed,42443.61,44333.48,Car,636,0,78,35.95,09:52.3,0
100054,43,Male,West,Secondary,Salaried,55058.79,20877.02,Car,670,8,181,81.07,09:52.3,1
100055,19,Female,North,Graduate,Salaried,73921.24,16474.73,Car,725,2,199,12.91,09:52.3,0
100056,37,Female,West,Graduate,Self-Employed,9191.98,16221.29,Car,573,1,190,82.21,09:52.3,1
100057,,Female,West,Secondary,,110135.55,79595.28,Education,,3,103,48.53,09:52.3,0
100058,64,Female,North,Secondary,Salaried,77053.44,31233.75,Business,663,5,275,80.34,09:52.3,0
100059,24,Male,North,Graduate,Salaried,90221.94,51339.35,Home,794,0,130,33.62,09:52.3,0
100060,61,Female,North,Secondary,Salaried,85526.22,21773.39,Education,622,8,241,35.5,09:52.3,0
100061,25,Other,South,Secondary,Salaried,82332.33,37934.19,Other,631,8,134,72.64,09:52.3,1
100062,64,Female,West,Graduate,Salaried,63243.6,38190.64,Business,758,7,157,75.65,09:52.3,1
100063,52,Female,North,Post-Graduate,Salaried,34277.41,35107.2,Business,696,5,158,25.67,09:52.3,0
100064,31,Female,East,Secondary,Salaried,55084.42,17352.13,Car,803,3,190,92.56,09:52.3,0
100065,34,Female,West,Secondary,Self-Employed,10168.27,32101.12,Education,727,1,100,12.6,09:52.3,0
100066,,Female,East,Secondary,,92516.4,23541.36,Other,,7,52,11.17,09:52.3,0
100067,67,Female,South,Graduate,Salaried,39572.18,23147.26,Car,630,6,49,58.6,09:52.3,1
100068,57,Female,North,Secondary,Self-Employed,46666.36,12912.85,Car,592,11,100,70.05,09:52.3,1
100069,21,Female,East,Post-Graduate,Salaried,86465.48,6805.08,Home,559,3,251,91.48,09:52.3,1
100070,,Female,South,Secondary,,19634.33,43725.65,Business,,2,54,41.45,09:52.3,0
100071,,Male,North,Secondary,,30264.93,31473.38,Other,,5,137,7.28,09:52.3,0
100072,59,Male,East,Graduate,Salaried,66699.28,4852.03,Business,702,0,162,59.26,09:52.3,0
100073,21,Male,East,Graduate,Salaried,73009.51,35765.66,Education,641,1,292,31.07,09:52.3,0
100074,46,Female,South,Secondary,Salaried,58207.48,44022.03,Home,785,6,81,43.97,09:52.3,0
100075,35,Female,North,Secondary,Self-Employed,59022.92,36665.01,Car,555,10,220,48.96,09:52.3,1
100076,43,Female,North,Post-Graduate,Self-Employed,91709.45,11625.43,Home,547,2,85,10.81,09:52.3,0
100077,61,Female,East,Primary,Salaried,75907.96,14020.12,Car,593,12,83,48.74,09:52.3,1
100078,51,Female,East,Post-Graduate,Salaried,72529.25,16781.86,Home,650,0,67,43.37,09:52.3,0
100079,27,Male,East,Primary,Salaried,79391.16,37916.27,Car,573,1,234,69.13,09:52.3,0
100080,53,Female,North,Graduate,Salaried,52485.24,32184.4,Business,744,9,198,63.11,09:52.3,0
100081,31,Female,South,Graduate,Self-Employed,114329.14,66854.37,Business,598,9,259,21.67,09:52.3,1
100082,48,Female,South,Secondary,Salaried,2311.71,386.72,Business,586,8,177,23.55,09:52.3,1
100083,65,Male,North,Post-Graduate,Self-Employed,96448.03,24211.02,Business,724,6,298,27.59,09:52.3,0
100084,32,Male,West,Primary,Self-Employed,82552.69,3916.33,Home,665,6,280,21.11,09:52.3,0
100085,25,Male,South,Secondary,Salaried,66207.21,33949.72,Car,705,9,129,64.15,09:52.3,0
100086,31,Male,East,Graduate,Unemployed,62000.72,41003.42,Business,647,7,180,94.5,09:52.3,1
100087,40,Female,West,Secondary,Salaried,56111.17,46631.59,Home,669,11,292,63.69,09:52.3,0
100088,57,Male,West,Graduate,Salaried,87586.09,27827.83,Car,550,11,207,59.6,09:52.3,1
100089,38,Female,South,Primary,Salaried,59003.39,3699.64,Home,640,7,294,41.89,09:52.3,0
100090,33,Female,West,Primary,Salaried,41802.88,24247.77,Business,577,8,175,33.13,09:52.3,1
100091,62,Male,West,Primary,Salaried,82549.57,31551.85,Education,787,1,29,87,09:52.3,0
100092,35,Male,South,Secondary,Salaried,99619.16,9922.81,Home,740,7,179,92.21,09:52.3,1
100093,64,Male,South,Secondary,Self-Employed,11820.77,21025.32,Business,604,7,41,49.71,09:52.3,1
100094,41,Male,West,Graduate,Unemployed,118927.3,5844.26,Other,635,12,192,31.12,09:52.3,0
100095,43,Male,East,Post-Graduate,Self-Employed,34081.72,15809.43,Car,639,4,237,74.31,09:52.3,1
100096,42,Female,North,Graduate,Salaried,35992.54,38687,Business,801,4,225,16.92,09:52.3,0
100097,62,Male,West,Secondary,Self-Employed,28877.76,35202.44,Other,678,3,114,73.9,09:52.3,1
100098,58,Other,West,Secondary,Salaried,60021.23,4071.71,Home,620,4,278,78.71,09:52.3,0
100099,46,Male,East,Secondary,Self-Employed,28007.04,14425.22,Home,660,1,17,16.24,09:52.3,0
100100,,Female,West,Secondary,,31043.5,25856.38,Other,,1,86,92.92,09:52.3,1
100101,62,Female,West,Graduate,Self-Employed,42786.25,28397.86,Other,645,4,181,93.7,09:52.3,0
100102,18,Female,North,Primary,Salaried,63461.39,15056.56,Car,574,10,145,89.3,09:52.3,1
100103,42,Female,North,Secondary,Self-Employed,65871.34,32146.86,Home,521,12,225,49.64,09:52.3,1
100104,24,Female,North,Post-Graduate,Salaried,91029.93,24470.77,Other,789,2,54,27.15,09:52.3,0
100105,26,Female,South,Secondary,Unemployed,90453.72,13649.45,Education,648,0,68,57.38,09:52.3,0
100106,41,Female,South,Secondary,Salaried,85615.28,16424.95,Education,596,8,107,42.79,09:52.3,1
100107,18,Female,North,Primary,Salaried,53459.57,15996.61,Other,531,1,77,23.54,09:52.3,0
100108,61,Male,North,Secondary,Salaried,13970.46,35174.11,Car,635,11,27,43.13,09:52.3,1
100109,25,Male,South,Post-Graduate,Self-Employed,13417.14,35440.89,Home,640,9,155,64.75,09:52.3,1
100110,41,Female,East,Secondary,Salaried,85443.25,81.54,Education,704,1,72,11.38,09:52.3,0
100111,28,Female,West,Secondary,Salaried,81093.86,31577.08,Other,583,3,180,35.01,09:52.3,0
100112,,Female,West,Primary,,44582.39,23890.54,Other,,1,47,6.6,09:52.3,0
100113,34,Female,North,Secondary,Unemployed,23981.59,26896.37,Business,585,6,242,72.45,09:52.3,1
100114,25,Other,East,Primary,Salaried,33821.22,15792.59,Other,635,11,277,62.66,09:52.3,1
100115,52,Male,South,Graduate,Salaried,64367.36,24072.55,Car,510,9,105,10.64,09:52.3,1
100116,52,Male,North,Graduate,Self-Employed,64414.02,42254.9,Education,594,0,95,91.83,09:52.3,1
100117,50,Male,East,Graduate,Unemployed,86063.28,26682.79,Business,694,10,219,7.04,09:52.3,0
100118,22,Male,East,Secondary,Salaried,48741.14,24363.6,Education,564,1,170,58.1,09:52.3,0
100119,59,Female,East,Graduate,Salaried,53899.1,17811.95,Education,720,10,283,74.87,09:52.3,1
100120,56,Male,South,Graduate,Salaried,88133.03,40783.84,Car,711,4,128,75.91,09:52.3,0
100121,58,Female,South,Secondary,Self-Employed,6872.63,5788.18,Other,717,1,200,8.09,09:52.3,0
100122,45,Male,West,Graduate,Salaried,67936.32,12970.46,Car,650,8,35,86.58,09:52.3,1
100123,24,Female,West,Primary,Salaried,51644.28,4926.83,Other,643,3,144,87.66,09:52.3,0
100124,26,Female,East,Primary,Salaried,77818.99,28010.28,Business,672,8,292,55.53,09:52.3,0
100125,,Male,East,Graduate,,72815.17,42696.21,Car,,10,66,48.39,09:52.3,0
100126,29,Female,South,Secondary,Salaried,42592.26,20068.07,Car,736,11,219,9.04,09:52.3,0
100127,51,Male,West,Graduate,Salaried,47316.63,8958.92,Home,534,0,56,55.58,09:52.3,0
100128,50,Male,East,Secondary,Salaried,2450.61,49546.7,Car,589,0,145,41.84,09:52.3,1
100129,,Male,West,Post-Graduate,,78749.79,31769.25,Home,,0,213,74.55,09:52.3,1
100130,40,Male,West,Post-Graduate,Salaried,65994.35,29162.86,Other,701,3,94,41.35,09:52.3,0
100131,41,Male,East,Post-Graduate,Self-Employed,94962.81,22147.14,Other,602,8,106,66.52,09:52.3,0
100132,54,Female,South,Secondary,Salaried,50015,35035.21,Other,636,7,84,14.13,09:52.3,0
100133,52,Female,East,Secondary,Unemployed,82858.39,28927.83,Home,770,6,136,16.97,09:52.3,0
100134,61,Female,East,Secondary,Salaried,33251.85,17780.97,Other,728,0,146,17.57,09:52.3,0
100135,57,Male,West,Primary,Salaried,7619.74,20292.96,Education,746,2,249,9.1,09:52.3,0
100136,39,Female,East,Primary,Salaried,57637.15,9701.7,Car,600,8,18,53.72,09:52.3,0
100137,44,Male,South,Graduate,Self-Employed,45832.96,7831.52,Home,456,8,125,76.46,09:52.3,1
100138,52,Male,East,Graduate,Salaried,33729.46,20550.22,Other,622,4,2,59.94,09:52.3,0
100139,18,Female,South,Post-Graduate,Self-Employed,82452.63,42313.22,Education,549,11,200,56.75,09:52.3,1
100140,52,Male,South,Secondary,Self-Employed,90206.17,9487.55,Car,514,12,138,66.26,09:52.3,1
100141,54,Female,West,Secondary,Salaried,62635.53,37545.55,Car,729,5,203,35.57,09:52.3,0
100142,64,Female,North,Primary,Unemployed,55437.02,13015.98,Other,588,10,282,37.58,09:52.3,1
100143,31,Male,North,Post-Graduate,Salaried,61567.71,1799.05,Education,594,12,30,33.28,09:52.3,1
100144,20,Male,West,Graduate,Self-Employed,43676.84,33199,Home,624,5,56,69.09,09:52.3,0
100145,18,Male,East,Graduate,Salaried,74064.9,49431.52,Other,765,9,119,19.55,09:52.3,0
100146,22,Female,West,Post-Graduate,Salaried,21515.7,12163.97,Car,639,3,132,6.17,09:52.3,0
100147,43,Male,South,Graduate,Self-Employed,33173.05,1451.94,Car,717,0,231,58.66,09:52.3,0
100148,31,Male,North,Secondary,Salaried,40218.47,31823.72,Car,628,4,152,89.81,09:52.3,0
100149,56,Male,West,Secondary,Salaried,73533.89,11152.39,Other,539,12,21,59.85,09:52.3,1
100150,44,Female,East,Graduate,Salaried,52437.75,33049.7,Business,567,0,68,75.46,09:52.3,1
100151,26,Male,West,Secondary,Salaried,94009.76,42272.19,Business,650,0,126,65.55,09:52.3,0
100152,32,Male,North,Secondary,Self-Employed,80082.74,29959.26,Business,658,10,43,49.77,09:52.3,0
100153,32,Female,West,Post-Graduate,Salaried,39972.67,37146.52,Education,688,4,182,69.66,09:52.3,0
100154,43,Other,West,Post-Graduate,Unemployed,75836.64,37249.18,Other,688,4,100,79.17,09:52.3,0
100155,59,Male,North,Graduate,Salaried,49794.82,39849.2,Car,713,6,240,25.23,09:52.3,0
100156,30,Male,South,Graduate,Salaried,71829.51,25678.16,Education,596,1,200,35.25,09:52.3,0
100157,68,Male,South,Graduate,Self-Employed,81294.3,36686.15,Business,778,5,116,25.14,09:52.3,0
100158,49,Female,North,Secondary,Salaried,87867.87,27466.03,Home,784,1,115,45.7,09:52.3,0
100159,56,Male,West,Primary,Unemployed,65050.54,30869.8,Education,614,12,142,84.66,09:52.3,1
100160,66,Female,North,Graduate,Self-Employed,100003.09,70775.67,Education,594,9,119,36.07,09:52.3,1
100161,69,Female,South,Graduate,Salaried,71032.86,28624.01,Other,525,4,93,38.7,09:52.3,0
100162,49,Female,East,Primary,Salaried,63376.3,2533.6,Education,662,3,9,82.43,09:52.3,0
100163,21,Male,West,Post-Graduate,Salaried,52437.14,22038.71,Other,682,10,73,51.38,09:52.3,0
100164,47,Female,South,Primary,Salaried,44217.27,20342.11,Home,609,9,26,53.19,09:52.3,0
100165,54,Female,West,Secondary,Self-Employed,70497.09,21028.1,Car,670,4,239,82.47,09:52.3,0
100166,40,Female,North,Graduate,Salaried,62518.94,39301.64,Car,553,1,145,49.15,09:52.3,0
100167,56,Male,East,Secondary,Salaried,66520.64,41958.87,Business,718,7,68,66.34,09:52.3,0
100168,62,Other,North,Primary,Salaried,72018.65,23415.47,Business,613,7,188,12.71,09:52.3,0
100169,32,Male,East,Secondary,Salaried,66415.04,4121.88,Home,670,5,131,21.08,09:52.3,0
100170,60,Male,West,Graduate,Salaried,110332.39,26486.43,Car,665,2,221,41.39,09:52.3,0
100171,46,Male,West,Secondary,Self-Employed,46800.88,16849.17,Business,513,3,281,49.54,09:52.3,0
100172,53,Female,North,Graduate,Self-Employed,70807.33,28156.07,Education,708,0,277,91.92,09:52.3,0
100173,30,Male,East,Graduate,Self-Employed,54307.67,23185.57,Other,595,8,140,92.36,09:52.3,1
100174,49,Male,East,Primary,Self-Employed,1536.8,43245.36,Business,664,9,54,81.61,09:52.3,1
100175,24,Male,West,Post-Graduate,Salaried,55163.18,29122.12,Home,551,4,1,33.4,09:52.3,0
100176,68,Male,North,Primary,Self-Employed,36587.57,16897.13,Car,616,7,128,91.76,09:52.3,1
100177,39,Female,East,Post-Graduate,Salaried,58329.44,4217.02,Home,675,2,1,67.04,09:52.3,0
100178,45,Female,West,Graduate,Salaried,59339.94,24279.79,Other,574,3,173,40.36,09:52.3,0
100179,19,Male,South,Post-Graduate,Salaried,69633.95,24333.44,Other,578,3,266,68.15,09:52.3,0
100180,59,Female,North,Primary,Salaried,46745.52,21063.09,Home,659,7,296,6.49,09:52.3,0
100181,62,Female,South,Secondary,Self-Employed,49872.68,36629.86,Business,638,11,256,18.15,09:52.3,0
100182,23,Male,North,Secondary,Salaried,77517.34,4258.32,Business,674,8,174,79.67,09:52.3,1
100183,45,Male,West,Primary,Self-Employed,39773.54,13561.84,Car,624,2,45,63.1,09:52.3,0
100184,45,Other,East,Graduate,Salaried,14038.68,25793.76,Car,695,6,141,37.78,09:52.3,1
100185,61,Female,East,Secondary,Salaried,63925.78,16607.38,Education,610,8,27,50.06,09:52.3,0
100186,61,Male,East,Graduate,Self-Employed,86771.22,19649.36,Education,692,1,233,86.46,09:52.3,0
100187,37,Female,North,Primary,Salaried,77229.51,24096.23,Car,587,3,209,61.84,09:52.3,0
100188,47,Male,West,Secondary,Salaried,64387.1,35289.47,Education,607,2,50,40.83,09:52.3,0
100189,28,Female,South,Graduate,Salaried,91266.13,23491.4,Home,701,7,61,15.83,09:52.3,0
100190,45,Male,West,Secondary,Salaried,87050.43,4545.27,Business,614,3,243,31.44,09:52.3,0
100191,42,Male,South,Graduate,Self-Employed,51727.14,15958.04,Education,568,8,269,93.05,09:52.3,1
100192,56,Male,North,Graduate,Salaried,66188.04,32436.76,Education,771,0,140,44.36,09:52.3,0
100193,50,Female,North,Graduate,Unemployed,67261.51,36440.1,Home,648,0,157,47.47,09:52.3,0
100194,18,Female,South,Secondary,Self-Employed,57831.23,37267.87,Other,683,3,85,49.87,09:52.3,0
100195,44,Male,South,Graduate,Self-Employed,88356.19,41517.67,Car,492,2,84,84.57,09:52.3,1
100196,69,Male,South,Post-Graduate,Self-Employed,56196.49,26776.56,Home,743,2,276,59.35,09:52.3,0
100197,30,Female,West,Graduate,Salaried,47493.03,28947.47,Other,835,9,31,67.43,09:52.3,0
100198,58,Male,South,Secondary,Self-Employed,4788.53,9791.37,Home,737,11,8,40.05,09:52.3,1
100199,20,Male,North,Graduate,Salaried,40042.4,7618.63,Business,747,1,280,7.62,09:52.3,0
100200,56,Other,North,Graduate,Salaried,27114.55,3736.26,Home,621,9,203,88.79,09:52.3,1
100201,23,Male,East,Graduate,Unemployed,58990.1,14472.44,Home,668,9,33,90.42,09:52.3,1
100202,25,Female,South,Primary,Salaried,28657.77,4604.43,Business,684,1,298,90.42,09:52.3,1
100203,44,Other,West,Secondary,Salaried,75217.12,20606.1,Car,601,7,143,89.93,09:52.3,1
100204,26,Male,West,Graduate,Salaried,87710.94,18068.68,Other,641,0,37,78.37,09:52.3,0
100205,54,Male,West,Secondary,Salaried,59221.08,39067.41,Education,580,7,147,66.61,09:52.3,1
100206,50,Male,East,Graduate,Salaried,35399.56,10462.95,Car,622,9,228,81.01,09:52.3,1
100207,68,Female,North,Secondary,Salaried,67160.01,27108.73,Home,709,2,34,59.05,09:52.3,0
100208,59,Female,West,Graduate,Salaried,107336.88,18703.48,Education,526,1,237,17.09,09:52.3,0
100209,61,Female,North,Primary,Salaried,99562.02,9901.32,Business,717,8,212,40.21,09:52.3,0
100210,41,Male,East,Secondary,Salaried,24848.03,14084.33,Car,540,4,140,92.42,09:52.3,1
100211,,Female,South,Post-Graduate,,23920.47,5768.9,Other,,4,190,36.6,09:52.3,0
100212,49,Female,South,Post-Graduate,Self-Employed,17511.59,36225.2,Car,660,12,96,83.1,09:52.3,1
100213,,Female,South,Graduate,,31575.51,46033.92,Car,,5,194,13.39,09:52.3,0
100214,41,Other,West,Secondary,Self-Employed,66289.81,20988.01,Education,637,3,296,35.08,09:52.3,0
100215,58,Female,South,Graduate,Unemployed,46082.64,25435.93,Business,577,6,152,36.59,09:52.3,1
100216,69,Female,West,Graduate,Self-Employed,39033.25,20562.13,Business,663,6,223,9.64,09:52.3,1
100217,66,Female,East,Graduate,Self-Employed,85977.74,12698.63,Car,802,10,196,15.72,09:52.3,0
100218,66,Male,East,Primary,Unemployed,73252.33,35573.54,Business,649,8,88,22.38,09:52.3,0
100219,69,Male,West,Graduate,Salaried,17382.43,29786.02,Education,588,5,299,80.4,09:52.3,1
100220,29,Female,North,Graduate,Self-Employed,84543.12,18682.02,Education,617,12,17,10.71,09:52.3,0
100221,56,Male,South,Post-Graduate,Self-Employed,72650.87,9480.84,Other,661,0,211,31.88,09:52.3,0
100222,19,Female,South,Primary,Salaried,73206.58,5795.92,Business,631,8,232,5.92,09:52.3,0
100223,20,Other,South,Graduate,Salaried,45738.15,48331.22,Other,621,11,183,67.61,09:52.3,0
100224,66,Female,West,Graduate,Unemployed,55317.4,22422.57,Home,743,12,162,60.83,09:52.3,0
100225,54,Male,East,Secondary,Self-Employed,10681.96,28610.52,Education,686,9,70,63.05,09:52.3,1
100226,66,Male,South,Primary,Salaried,81674.67,19700.57,Car,642,8,60,38.69,09:52.3,0
100227,34,Male,East,Secondary,Salaried,35026.82,41540.45,Education,642,4,179,23.74,09:52.3,0
100228,66,Female,South,Secondary,Self-Employed,38234.27,37910.58,Home,662,6,77,69.83,09:52.3,1
100229,19,Female,South,Secondary,Salaried,37896.47,21767.81,Car,689,0,35,78,09:52.3,1
100230,19,Female,West,Graduate,Salaried,105010.03,50769.9,Business,740,3,16,17.47,09:52.3,0
100231,45,Male,North,Graduate,Self-Employed,43282.4,27779.77,Business,621,11,294,48.81,09:52.3,0
100232,40,Female,West,Graduate,Salaried,250669.53,6196.24,Education,580,9,171,27.38,09:52.3,1
100233,54,Female,South,Post-Graduate,Salaried,59400.2,26500.28,Car,611,3,32,20.13,09:52.3,0
100234,49,Male,South,Secondary,Self-Employed,39272.26,32761.61,Car,589,4,263,71.09,09:52.3,1
100235,50,Female,North,Secondary,Self-Employed,34740,23001.63,Other,543,5,215,53.43,09:52.3,1
100236,18,Male,East,Graduate,Salaried,44278.6,18827.75,Home,749,3,46,24.46,09:52.3,0
100237,36,Male,East,Secondary,Salaried,58138.46,51465.42,Business,710,5,189,32.9,09:52.3,0
100238,19,Female,South,Secondary,Salaried,75043.43,7212.06,Education,490,9,274,92,09:52.3,1
100239,61,Male,East,Secondary,Unemployed,48225.21,16455.71,Car,665,6,71,81.38,09:52.3,1
100240,43,Female,South,Primary,Salaried,47289.71,49285.81,Business,624,2,296,84.2,09:52.3,0
100241,49,Female,North,Graduate,Salaried,37971.12,6609.29,Education,615,8,88,46.4,09:52.3,1
100242,23,Female,North,Secondary,Salaried,30148.95,20700.73,Business,476,7,261,61.14,09:52.3,1
100243,49,Male,South,Secondary,Self-Employed,28057.72,19338.52,Education,648,0,182,38.91,09:52.3,0
100244,21,Female,North,Primary,Salaried,84700.72,43476.23,Business,655,12,22,11.99,09:52.3,0
100245,28,Female,West,Graduate,Salaried,46779.02,46522.85,Other,568,1,74,41.1,09:52.3,0
100246,34,Female,West,Secondary,Salaried,48993.1,5614.37,Home,764,1,90,58.46,09:52.3,0
100247,55,Male,North,Graduate,Self-Employed,43334.69,45353.64,Business,705,9,166,30.84,09:52.3,0
100248,,Male,South,Secondary,,52078.59,45076.15,Home,,8,234,81.32,09:52.3,1
100249,22,Female,South,Secondary,Salaried,69276.85,25290.32,Business,722,11,129,18.6,09:52.3,0
100250,69,Male,North,Graduate,Salaried,47827.98,38988.14,Car,617,8,292,38.04,09:52.3,0
100251,51,Female,East,Primary,Self-Employed,64518.5,40492.45,Other,724,8,95,16.24,09:52.3,0
100252,,Female,West,Secondary,,95455.21,21213.58,Other,,0,28,41.43,09:52.3,0
100253,39,Female,East,Secondary,Salaried,39508.4,22636.5,Home,662,6,35,8.57,09:52.3,1
100254,28,Female,South,Post-Graduate,Salaried,49013.29,33839.92,Car,565,11,231,29.53,09:52.3,1
100255,,Other,South,Primary,,76026.51,572.13,Education,,10,125,41.07,09:52.3,1
100256,33,Female,East,Graduate,Salaried,97432.4,19692.9,Other,515,12,79,48.03,09:52.3,1
100257,50,Female,North,Secondary,Unemployed,28942.24,6994.62,Car,564,2,61,53.93,09:52.3,1
100258,26,Female,East,Secondary,Self-Employed,17479.9,46353.67,Car,563,10,217,29.75,09:52.3,1
100259,23,Male,East,Secondary,Salaried,59984.84,19516.26,Home,554,8,282,52.07,09:52.3,1
100260,33,Male,West,Post-Graduate,Self-Employed,57403.08,29145.61,Car,663,7,163,50.81,09:52.3,0
100261,46,Female,West,Secondary,Salaried,77504.23,21723.82,Car,526,2,57,33.46,09:52.3,0
100262,20,Male,East,Primary,Salaried,73689.01,20747.74,Education,671,0,191,79.72,09:52.3,0
100263,37,Female,East,Secondary,Salaried,59150.92,28164.49,Home,720,8,132,54.11,09:52.3,0
100264,53,Male,South,Primary,Salaried,86230.37,14040.35,Home,588,12,42,34.9,09:52.3,1
100265,36,Female,West,Primary,Unemployed,42974.56,22022.76,Car,644,9,173,90.26,09:52.3,1
100266,43,Female,West,Graduate,Salaried,65289.52,21912.36,Education,627,0,167,81.06,09:52.3,0
100267,20,Female,South,Primary,Self-Employed,29607.32,18651.77,Business,621,2,250,93.43,09:52.3,1
100268,36,Female,North,Primary,Salaried,58946.79,30865.85,Other,471,12,193,67.3,09:52.3,1
100269,37,Female,West,Graduate,Salaried,23471.71,18295.06,Home,571,5,278,39.04,09:52.3,1
